model,fold,case,region,gt_voxels,pred_voxels,mask_status,hd95_status,hd95_mm
SegMamba_150epochs,0,BraTS20_Training_011.nii.gz,WT,55130,,both_nonempty,finite,4.242640687119285
SegMamba_150epochs,0,BraTS20_Training_011.nii.gz,TC,10377,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_011.nii.gz,ET,5774,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_012.nii.gz,WT,32051,,both_nonempty,finite,17.916472867168917
SegMamba_150epochs,0,BraTS20_Training_012.nii.gz,TC,8280,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_012.nii.gz,ET,5973,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_019.nii.gz,WT,43797,,both_nonempty,finite,5.0
SegMamba_150epochs,0,BraTS20_Training_019.nii.gz,TC,20547,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_019.nii.gz,ET,9813,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_020.nii.gz,WT,175675,,both_nonempty,finite,3.4641016151377544
SegMamba_150epochs,0,BraTS20_Training_020.nii.gz,TC,118709,,both_nonempty,finite,5.0990195135927845
SegMamba_150epochs,0,BraTS20_Training_020.nii.gz,ET,27410,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_021.nii.gz,WT,36858,,both_nonempty,finite,5.916079783099616
SegMamba_150epochs,0,BraTS20_Training_021.nii.gz,TC,5669,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_021.nii.gz,ET,3003,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_023.nii.gz,WT,41124,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_023.nii.gz,TC,17526,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_023.nii.gz,ET,10937,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_028.nii.gz,WT,20935,,both_nonempty,finite,4.123105625617661
SegMamba_150epochs,0,BraTS20_Training_028.nii.gz,TC,15027,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,0,BraTS20_Training_028.nii.gz,ET,9281,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_029.nii.gz,WT,62354,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_029.nii.gz,TC,7394,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_029.nii.gz,ET,5701,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_032.nii.gz,WT,26500,,both_nonempty,finite,2.8284271247461903
SegMamba_150epochs,0,BraTS20_Training_032.nii.gz,TC,17430,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_032.nii.gz,ET,9563,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_036.nii.gz,WT,14830,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_036.nii.gz,TC,5751,,both_nonempty,finite,1.4142135623730951
