case,WT,TC,ET
BraTS20_Training_003.nii.gz,5.0990195135927845,1.0,1.0
BraTS20_Training_007.nii.gz,2.0,11.045361017187261,1.0
BraTS20_Training_014.nii.gz,3.1622776601683795,3.0,1.0
BraTS20_Training_025.nii.gz,2.0,1.0,1.0
BraTS20_Training_033.nii.gz,1.0,1.0,1.0
BraTS20_Training_052.nii.gz,2.0,1.0,1.0
BraTS20_Training_062.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_066.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_070.nii.gz,4.58257569495584,5.744562646538029,1.4142135623730951
BraTS20_Training_079.nii.gz,3.1622776601683795,1.4142135623730951,3.7416573867739413
BraTS20_Training_080.nii.gz,2.23606797749979,3.1622776601683795,1.7320508075688772
BraTS20_Training_085.nii.gz,1.4142135623730951,9.80813873726538,9.473620018393005
BraTS20_Training_087.nii.gz,85.02793654744391,93.52807030884318,89.54049271874717
BraTS20_Training_095.nii.gz,1.0,2.8284271247461903,1.0
BraTS20_Training_097.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_099.nii.gz,4.47213595499958,1.0,1.0
BraTS20_Training_103.nii.gz,3.7416573867739413,1.0,1.0
BraTS20_Training_110.nii.gz,29.301875880404836,1.0,1.0
BraTS20_Training_112.nii.gz,1.0,1.0,1.0
BraTS20_Training_117.nii.gz,1.0,1.0,1.0
BraTS20_Training_122.nii.gz,1.0,1.0,1.0
BraTS20_Training_126.nii.gz,2.8284271247461903,2.23606797749979,1.0
BraTS20_Training_127.nii.gz,1.0,1.0,1.0
BraTS20_Training_132.nii.gz,6.164414002968976,2.0,2.8284271247461903
BraTS20_Training_140.nii.gz,1.4142135623730951,1.7320508075688772,1.0
BraTS20_Training_154.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_164.nii.gz,15.297058540778355,1.4142135623730951,1.0
BraTS20_Training_168.nii.gz,3.7416573867739413,2.23606797749979,1.7320508075688772
BraTS20_Training_170.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_171.nii.gz,6.324555320336759,5.744562646538029,2.449489742783178
BraTS20_Training_177.nii.gz,18.788294228055936,10.057320018707072,10.246950765959598
BraTS20_Training_184.nii.gz,2.8284271247461903,1.4142135623730951,1.0
BraTS20_Training_193.nii.gz,16.492422502470642,2.0,2.0
BraTS20_Training_194.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_195.nii.gz,2.23606797749979,2.449489742783178,1.4142135623730951
BraTS20_Training_200.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_201.nii.gz,1.0,1.0,1.7320508075688772
BraTS20_Training_212.nii.gz,4.898979485566356,5.656854249492381,2.23606797749979
BraTS20_Training_213.nii.gz,10.44030650891055,3.7416573867739413,1.7320508075688772
BraTS20_Training_215.nii.gz,2.0,2.23606797749979,1.0
BraTS20_Training_217.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_218.nii.gz,2.23606797749979,2.23606797749979,1.4142135623730951
BraTS20_Training_225.nii.gz,1.0,2.23606797749979,3.0
BraTS20_Training_233.nii.gz,1.0,2.8284271247461903,2.0
BraTS20_Training_234.nii.gz,2.0,2.8284271247461903,19.31708866932582
BraTS20_Training_237.nii.gz,2.8284271247461903,2.23606797749979,1.4142135623730951
BraTS20_Training_242.nii.gz,4.58257569495584,3.3166247903554,2.0
BraTS20_Training_243.nii.gz,1.7320508075688772,49.76896415746531,45.83121174751088
BraTS20_Training_244.nii.gz,1.4142135623730951,2.23606797749979,2.23606797749979
BraTS20_Training_246.nii.gz,4.218733674818873,9.899494936611665,3.605551275463989
BraTS20_Training_260.nii.gz,15.292150388032617,4.123105625617661,3.0
BraTS20_Training_265.nii.gz,1.7320508075688772,1.7320508075688772,inf
BraTS20_Training_266.nii.gz,1.7320508075688772,4.123105625617661,inf
BraTS20_Training_274.nii.gz,7.54983443527075,13.0,6.4031242374328485
BraTS20_Training_278.nii.gz,5.0,34.140883827457436,inf
BraTS20_Training_282.nii.gz,1.0,5.385164807134504,2.23606797749979
BraTS20_Training_289.nii.gz,2.23606797749979,9.899494936611665,inf
BraTS20_Training_291.nii.gz,1.4142135623730951,8.306623862918075,inf
BraTS20_Training_292.nii.gz,2.449489742783178,3.7416573867739413,12.891836993734143
BraTS20_Training_299.nii.gz,2.23606797749979,2.449489742783178,15.654071407441506
BraTS20_Training_306.nii.gz,4.242640687119285,19.209372712298546,inf
BraTS20_Training_314.nii.gz,4.0,2.0,1.0
BraTS20_Training_315.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_318.nii.gz,2.8284271247461903,6.0,13.92838827718412
BraTS20_Training_323.nii.gz,4.47213595499958,5.656854249492381,inf
BraTS20_Training_325.nii.gz,16.881943016134134,5.385164807134504,inf
BraTS20_Training_327.nii.gz,1.4142135623730951,6.164414002968976,7.0710678118654755
BraTS20_Training_328.nii.gz,3.3166247903554,15.394804318340652,52.354560450833695
BraTS20_Training_335.nii.gz,3.7416573867739413,7.14142842854285,inf
BraTS20_Training_337.nii.gz,1.0,1.0,1.0
BraTS20_Training_344.nii.gz,2.23606797749979,8.717797887081348,12.727922061357855
BraTS20_Training_348.nii.gz,1.0,2.23606797749979,1.0
BraTS20_Training_363.nii.gz,1.0,1.0,1.0
BraTS20_Training_367.nii.gz,1.0,2.23606797749979,1.0
