case,WT,TC,ET
BraTS20_Training_001.nii.gz,3.1622776601683795,4.47213595499958,1.0
BraTS20_Training_006.nii.gz,2.23606797749979,2.23606797749979,1.4142135623730951
BraTS20_Training_013.nii.gz,3.1622776601683795,1.4142135623730951,1.4142135623730951
BraTS20_Training_024.nii.gz,7.681145747868608,12.36931687685298,10.246950765959598
BraTS20_Training_030.nii.gz,3.7416573867739413,3.0,1.4142135623730951
BraTS20_Training_035.nii.gz,3.0,3.605551275463989,1.4142135623730951
BraTS20_Training_037.nii.gz,4.358898943540674,1.4142135623730951,1.0
BraTS20_Training_044.nii.gz,4.242640687119285,4.58257569495584,4.242640687119285
BraTS20_Training_059.nii.gz,4.123105625617661,1.0,1.0
BraTS20_Training_060.nii.gz,3.7416573867739413,1.0,1.0
BraTS20_Training_063.nii.gz,2.0,7.681145747868608,7.08865796603482
BraTS20_Training_064.nii.gz,6.6332495807108,4.358898943540674,2.0
BraTS20_Training_065.nii.gz,10.198039027185569,1.0,1.0
BraTS20_Training_073.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_075.nii.gz,2.23606797749979,1.7320508075688772,1.0
BraTS20_Training_077.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_078.nii.gz,3.0,1.0,1.0
BraTS20_Training_081.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_082.nii.gz,4.358898943540674,1.0,1.0
BraTS20_Training_083.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_084.nii.gz,2.23606797749979,2.23606797749979,1.7320508075688772
BraTS20_Training_092.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_106.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_108.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_109.nii.gz,1.7320508075688772,1.0,1.4142135623730951
BraTS20_Training_119.nii.gz,33.58571124749333,1.0,1.0
BraTS20_Training_120.nii.gz,1.0,1.0,1.0
BraTS20_Training_125.nii.gz,1.0,1.0,1.0
BraTS20_Training_130.nii.gz,3.3166247903554,1.4142135623730951,1.0
BraTS20_Training_134.nii.gz,3.7416573867739413,4.242640687119285,3.0
BraTS20_Training_139.nii.gz,2.0,1.0,1.0
BraTS20_Training_143.nii.gz,2.23606797749979,1.7320508075688772,1.7320508075688772
BraTS20_Training_144.nii.gz,2.23606797749979,2.8284271247461903,1.0
BraTS20_Training_147.nii.gz,10.198039027185569,12.569805089976535,48.087420122668796
BraTS20_Training_156.nii.gz,1.4142135623730951,2.23606797749979,1.0
BraTS20_Training_167.nii.gz,2.0,3.3166247903554,3.0
BraTS20_Training_172.nii.gz,5.0,1.0,1.0
BraTS20_Training_173.nii.gz,3.0,3.1622776601683795,1.7320508075688772
BraTS20_Training_179.nii.gz,2.449489742783178,2.8284271247461903,3.0
BraTS20_Training_186.nii.gz,2.8284271247461903,1.0,1.0
BraTS20_Training_190.nii.gz,4.358898943540674,2.23606797749979,1.7320508075688772
BraTS20_Training_202.nii.gz,1.4142135623730951,1.7320508075688772,1.0
BraTS20_Training_209.nii.gz,3.0,1.0,1.0
BraTS20_Training_211.nii.gz,2.0,1.0,1.0
BraTS20_Training_219.nii.gz,12.206555615733702,1.0,1.0
BraTS20_Training_227.nii.gz,10.63014581273465,2.8284271247461903,2.449489742783178
BraTS20_Training_228.nii.gz,4.242640687119285,1.4142135623730951,1.0
BraTS20_Training_232.nii.gz,3.7416573867739413,4.898979485566356,22.40535650240808
BraTS20_Training_236.nii.gz,4.47213595499958,12.206555615733702,13.892443989449804
BraTS20_Training_248.nii.gz,2.23606797749979,1.4142135623730951,1.4142135623730951
BraTS20_Training_249.nii.gz,6.324555320336759,2.0,2.0
BraTS20_Training_252.nii.gz,1.4142135623730951,2.23606797749979,1.4142135623730951
BraTS20_Training_253.nii.gz,1.4142135623730951,1.0,1.7320508075688772
BraTS20_Training_258.nii.gz,2.0,2.23606797749979,1.0
BraTS20_Training_262.nii.gz,2.449489742783178,34.0147027033899,inf
BraTS20_Training_264.nii.gz,2.0,3.1622776601683795,inf
BraTS20_Training_268.nii.gz,3.0,2.449489742783178,nan
BraTS20_Training_279.nii.gz,11.489125293076057,12.36931687685298,inf
BraTS20_Training_280.nii.gz,2.23606797749979,21.0,9.601779094434734
BraTS20_Training_286.nii.gz,3.3166247903554,4.242640687119285,inf
BraTS20_Training_288.nii.gz,8.306623862918075,9.899494936611665,1.0
BraTS20_Training_295.nii.gz,1.4142135623730951,4.58257569495584,15.011653732430519
BraTS20_Training_298.nii.gz,2.23606797749979,15.165750888103101,7.078069548818602
BraTS20_Training_303.nii.gz,6.164414002968976,15.0,8.659684166863933
BraTS20_Training_310.nii.gz,2.8284271247461903,6.0,inf
BraTS20_Training_316.nii.gz,5.0,8.774964387392123,6.4031242374328485
BraTS20_Training_324.nii.gz,1.7320508075688772,15.264337522473747,inf
BraTS20_Training_330.nii.gz,1.0,3.3166247903554,inf
BraTS20_Training_332.nii.gz,1.4142135623730951,2.0,1.4142135623730951
BraTS20_Training_349.nii.gz,2.0,2.0,1.4142135623730951
BraTS20_Training_358.nii.gz,1.0,2.449489742783178,1.0
BraTS20_Training_365.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_366.nii.gz,1.4142135623730951,3.7416573867739413,2.449489742783178
