case,WT,TC,ET
BraTS20_Training_011.nii.gz,3.7416573867739413,1.9598076211351854,1.4142135623730951
BraTS20_Training_012.nii.gz,18.05547008526779,1.0,1.0
BraTS20_Training_019.nii.gz,4.242640687119285,1.7320508075688772,1.0
BraTS20_Training_020.nii.gz,3.7416573867739413,5.477225575051661,1.4142135623730951
BraTS20_Training_021.nii.gz,4.123105625617661,1.0,1.7320508075688772
BraTS20_Training_023.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_028.nii.gz,6.4031242374328485,2.8284271247461903,1.7320508075688772
BraTS20_Training_029.nii.gz,1.0,1.0,1.0
BraTS20_Training_032.nii.gz,2.8284271247461903,2.23606797749979,1.0
BraTS20_Training_036.nii.gz,1.7320508075688772,2.0,2.0
BraTS20_Training_039.nii.gz,3.0,1.4142135623730951,1.0
BraTS20_Training_041.nii.gz,1.4142135623730951,3.7416573867739413,2.0
BraTS20_Training_042.nii.gz,1.0,1.0,1.0
BraTS20_Training_049.nii.gz,2.0,1.0,1.7320508075688772
BraTS20_Training_051.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_053.nii.gz,1.4142135623730951,4.123105625617661,1.0
BraTS20_Training_056.nii.gz,4.69041575982343,2.0,1.4142135623730951
BraTS20_Training_069.nii.gz,26.870057685088806,1.4142135623730951,1.0
BraTS20_Training_074.nii.gz,5.830951894845301,29.68164415931166,3.1622776601683795
BraTS20_Training_086.nii.gz,7.483314773547883,5.957737973711325,109.10875570382524
BraTS20_Training_088.nii.gz,9.1104335791443,1.4142135623730951,1.4142135623730951
BraTS20_Training_089.nii.gz,16.822603841260722,1.0,1.0
BraTS20_Training_098.nii.gz,1.0,1.0,1.0
BraTS20_Training_100.nii.gz,1.0,1.0,1.0
BraTS20_Training_101.nii.gz,3.605551275463989,5.0,4.123105625617661
BraTS20_Training_104.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_107.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_111.nii.gz,1.0,1.0,1.0
BraTS20_Training_113.nii.gz,7.681145747868608,2.23606797749979,1.0
BraTS20_Training_114.nii.gz,29.74306533795955,1.0,1.0
BraTS20_Training_116.nii.gz,1.0,1.0,1.0
BraTS20_Training_131.nii.gz,2.0,2.23606797749979,1.0
BraTS20_Training_137.nii.gz,2.23606797749979,2.0,1.4142135623730951
BraTS20_Training_138.nii.gz,3.0,8.774964387392123,1.0
BraTS20_Training_145.nii.gz,2.23606797749979,2.449489742783178,1.4142135623730951
BraTS20_Training_150.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_155.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_162.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_165.nii.gz,1.0,1.0,1.4142135623730951
BraTS20_Training_174.nii.gz,1.0,1.4142135623730951,1.4142135623730951
BraTS20_Training_175.nii.gz,1.4142135623730951,3.605551275463989,1.7320508075688772
BraTS20_Training_176.nii.gz,1.4142135623730951,5.0,2.23606797749979
BraTS20_Training_183.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_185.nii.gz,2.0,1.4142135623730951,1.0
BraTS20_Training_187.nii.gz,1.4142135623730951,1.4142135623730951,1.7320508075688772
BraTS20_Training_192.nii.gz,1.0,1.0,1.0
BraTS20_Training_197.nii.gz,2.8284271247461903,2.449489742783178,2.0
BraTS20_Training_203.nii.gz,6.708203932499369,5.196152422706632,1.0
BraTS20_Training_204.nii.gz,3.1622776601683795,1.0,1.0
BraTS20_Training_205.nii.gz,1.0,1.0,1.0
BraTS20_Training_207.nii.gz,4.47213595499958,3.3166247903554,3.605551275463989
BraTS20_Training_208.nii.gz,2.0,3.0,1.4142135623730951
BraTS20_Training_210.nii.gz,2.449489742783178,2.8284271247461903,1.4142135623730951
BraTS20_Training_216.nii.gz,7.0,2.8284271247461903,2.23606797749979
BraTS20_Training_220.nii.gz,5.0,4.69041575982343,1.4142135623730951
BraTS20_Training_223.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_224.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_226.nii.gz,1.7320508075688772,1.4142135623730951,1.4142135623730951
BraTS20_Training_230.nii.gz,1.0,1.0,1.0
BraTS20_Training_240.nii.gz,3.4641016151377544,5.0,5.0
BraTS20_Training_245.nii.gz,5.0,3.7416573867739413,3.0
BraTS20_Training_251.nii.gz,1.0,1.0,1.0
BraTS20_Training_259.nii.gz,1.4142135623730951,22.54993638361657,1.4142135623730951
BraTS20_Training_284.nii.gz,4.123105625617661,4.0,19.6468827043885
BraTS20_Training_287.nii.gz,1.0,1.7320508075688772,3.0
BraTS20_Training_297.nii.gz,11.874342087037917,8.246211251235321,nan
BraTS20_Training_302.nii.gz,4.58257569495584,4.358898943540674,4.0
BraTS20_Training_305.nii.gz,2.23606797749979,3.7416573867739413,inf
BraTS20_Training_329.nii.gz,2.8284271247461903,8.246211251235321,inf
BraTS20_Training_331.nii.gz,2.8284271247461903,12.68857754044952,1.4142135623730951
BraTS20_Training_342.nii.gz,3.0,1.7320508075688772,1.0
BraTS20_Training_353.nii.gz,1.0,1.0,1.0
BraTS20_Training_360.nii.gz,2.23606797749979,1.4142135623730951,1.0
BraTS20_Training_368.nii.gz,1.0,1.4142135623730951,1.0
