case,WT,TC,ET
BraTS20_Training_001.nii.gz,3.4641016151377544,2.0,1.0
BraTS20_Training_006.nii.gz,2.23606797749979,2.23606797749979,1.4142135623730951
BraTS20_Training_013.nii.gz,3.1622776601683795,1.4142135623730951,1.0
BraTS20_Training_024.nii.gz,2.23606797749979,1.7320508075688772,1.4142135623730951
BraTS20_Training_030.nii.gz,3.605551275463989,13.30413469565007,2.23606797749979
BraTS20_Training_035.nii.gz,3.0,4.0,1.4142135623730951
BraTS20_Training_037.nii.gz,4.242640687119285,1.7320508075688772,1.0
BraTS20_Training_044.nii.gz,4.549443772969042,4.123105625617661,3.1622776601683795
BraTS20_Training_059.nii.gz,5.916079783099616,2.0,3.4641016151377544
BraTS20_Training_060.nii.gz,3.3166247903554,1.0,1.0
BraTS20_Training_063.nii.gz,1.7320508075688772,6.2360270733080725,5.916079783099616
BraTS20_Training_064.nii.gz,10.295630140987,4.123105625617661,1.7320508075688772
BraTS20_Training_065.nii.gz,17.744010218904382,1.0,1.0
BraTS20_Training_073.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_075.nii.gz,2.23606797749979,1.7320508075688772,1.4142135623730951
BraTS20_Training_077.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_078.nii.gz,4.0,1.0,1.0
BraTS20_Training_081.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_082.nii.gz,5.157299259061128,1.4142135623730951,1.0
BraTS20_Training_083.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_084.nii.gz,2.449489742783178,2.23606797749979,1.7320508075688772
BraTS20_Training_092.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_106.nii.gz,2.0,1.0,1.0
BraTS20_Training_108.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_109.nii.gz,1.0,1.0,1.0
BraTS20_Training_119.nii.gz,22.045407685048602,1.0,1.0
BraTS20_Training_120.nii.gz,42.720018726587654,1.4142135623730951,1.0
BraTS20_Training_125.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_130.nii.gz,3.7416573867739413,1.0,1.0
BraTS20_Training_134.nii.gz,3.0,4.47213595499958,3.3166247903554
BraTS20_Training_139.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_143.nii.gz,2.8284271247461903,2.0,2.23606797749979
BraTS20_Training_144.nii.gz,2.449489742783178,2.8284271247461903,1.0
BraTS20_Training_147.nii.gz,7.615773105863909,13.601470508735444,49.49747468305833
BraTS20_Training_156.nii.gz,1.0,4.289143989687586,1.0
BraTS20_Training_167.nii.gz,1.7320508075688772,2.8284271247461903,2.8284271247461903
BraTS20_Training_172.nii.gz,5.744562646538029,1.0,1.0
BraTS20_Training_173.nii.gz,3.1622776601683795,4.123105625617661,2.449489742783178
BraTS20_Training_179.nii.gz,2.8284271247461903,3.0,3.0
BraTS20_Training_186.nii.gz,2.8284271247461903,1.0,1.0
BraTS20_Training_190.nii.gz,3.7416573867739413,5.196152422706632,2.449489742783178
BraTS20_Training_202.nii.gz,1.4142135623730951,2.0,1.0
BraTS20_Training_209.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_211.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_219.nii.gz,11.0,1.0,1.0
BraTS20_Training_227.nii.gz,14.177446878757825,2.449489742783178,2.23606797749979
BraTS20_Training_228.nii.gz,5.744562646538029,2.23606797749979,1.0
BraTS20_Training_232.nii.gz,2.449489742783178,12.24744871391589,28.231188426986208
BraTS20_Training_236.nii.gz,4.123105625617661,5.196152422706632,6.324555320336759
BraTS20_Training_248.nii.gz,2.0,1.4142135623730951,1.0
BraTS20_Training_249.nii.gz,6.082762530298219,2.0,2.0
BraTS20_Training_252.nii.gz,1.4142135623730951,2.23606797749979,1.4142135623730951
BraTS20_Training_253.nii.gz,1.0,1.4142135623730951,1.7320508075688772
BraTS20_Training_258.nii.gz,2.23606797749979,2.23606797749979,1.4142135623730951
BraTS20_Training_262.nii.gz,3.0,35.2845575287547,inf
BraTS20_Training_264.nii.gz,2.449489742783178,3.0,inf
BraTS20_Training_268.nii.gz,3.4641016151377544,3.0,nan
BraTS20_Training_279.nii.gz,14.594519519326424,18.732306181310356,inf
BraTS20_Training_280.nii.gz,2.0,19.488441918736306,8.697276783234841
BraTS20_Training_286.nii.gz,3.0,4.358898943540674,inf
BraTS20_Training_288.nii.gz,7.615773105863909,10.246950765959598,1.0
BraTS20_Training_295.nii.gz,2.0,5.830951894845301,14.45683229480096
BraTS20_Training_298.nii.gz,2.23606797749979,13.334158190431054,13.926032271839686
BraTS20_Training_303.nii.gz,7.14142842854285,14.866068747318506,8.594878719472092
BraTS20_Training_310.nii.gz,3.0,3.4641016151377544,inf
BraTS20_Training_316.nii.gz,6.6332495807108,15.165750888103101,11.823692877469693
BraTS20_Training_324.nii.gz,2.23606797749979,11.360013569570057,inf
BraTS20_Training_330.nii.gz,1.4142135623730951,3.0,inf
BraTS20_Training_332.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_349.nii.gz,1.4142135623730951,2.0,1.4142135623730951
BraTS20_Training_358.nii.gz,1.0,2.23606797749979,1.0
BraTS20_Training_365.nii.gz,1.0,1.0,1.0
BraTS20_Training_366.nii.gz,2.449489742783178,4.58257569495584,3.1622776601683795
