case,WT,TC,ET
BraTS20_Training_003.nii.gz,5.656854249492381,1.0,1.0
BraTS20_Training_007.nii.gz,2.0,11.35561128196975,1.0
BraTS20_Training_014.nii.gz,2.8284271247461903,3.0,1.0
BraTS20_Training_025.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_033.nii.gz,1.0,1.0,1.0
BraTS20_Training_052.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_062.nii.gz,1.7320508075688772,1.4142135623730951,1.0
BraTS20_Training_066.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_070.nii.gz,1.7320508075688772,3.0,1.4142135623730951
BraTS20_Training_079.nii.gz,2.8798989873223646,1.4142135623730951,3.7416573867739413
BraTS20_Training_080.nii.gz,2.23606797749979,3.1622776601683795,1.4142135623730951
BraTS20_Training_085.nii.gz,2.0,2.23606797749979,3.0
BraTS20_Training_087.nii.gz,26.095976701399778,18.49324200890693,inf
BraTS20_Training_095.nii.gz,1.0,2.23606797749979,1.4142135623730951
BraTS20_Training_097.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_099.nii.gz,12.083045973594572,1.0,1.0
BraTS20_Training_103.nii.gz,4.123105625617661,1.0,1.0
BraTS20_Training_110.nii.gz,29.50084496444947,1.0,1.0
BraTS20_Training_112.nii.gz,1.0,1.0,1.0
BraTS20_Training_117.nii.gz,1.0,1.0,1.0
BraTS20_Training_122.nii.gz,1.0,1.0,1.0
BraTS20_Training_126.nii.gz,3.1622776601683795,2.449489742783178,1.0
BraTS20_Training_127.nii.gz,1.0,1.0,1.0
BraTS20_Training_132.nii.gz,7.3484692283495345,1.7320508075688772,2.449489742783178
BraTS20_Training_140.nii.gz,1.4142135623730951,1.7320508075688772,1.0
BraTS20_Training_154.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_164.nii.gz,12.041594578792296,1.0,1.0
BraTS20_Training_168.nii.gz,2.449489742783178,2.23606797749979,2.0
BraTS20_Training_170.nii.gz,1.7320508075688772,1.4142135623730951,1.0
BraTS20_Training_171.nii.gz,7.14142842854285,7.483314773547883,3.0
BraTS20_Training_177.nii.gz,24.372115213907882,10.04987562112089,10.198039027185569
BraTS20_Training_184.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_193.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_194.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_195.nii.gz,2.23606797749979,2.449489742783178,2.0
BraTS20_Training_200.nii.gz,2.23606797749979,1.4142135623730951,1.4142135623730951
BraTS20_Training_201.nii.gz,1.0,1.0,1.4142135623730951
BraTS20_Training_212.nii.gz,5.0,6.164414002968976,2.23606797749979
BraTS20_Training_213.nii.gz,9.311143053948452,4.123105625617661,1.7320508075688772
BraTS20_Training_215.nii.gz,2.23606797749979,2.23606797749979,1.0
BraTS20_Training_217.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_218.nii.gz,9.219544457292887,2.23606797749979,1.4142135623730951
BraTS20_Training_225.nii.gz,1.4142135623730951,2.23606797749979,3.0
BraTS20_Training_233.nii.gz,1.4142135623730951,2.8284271247461903,1.4142135623730951
BraTS20_Training_234.nii.gz,2.0,2.23606797749979,3.0
BraTS20_Training_237.nii.gz,3.7416573867739413,2.8284271247461903,1.4142135623730951
BraTS20_Training_242.nii.gz,4.898979485566356,5.0,2.23606797749979
BraTS20_Training_243.nii.gz,2.0,49.73932046178355,45.4972526643093
BraTS20_Training_244.nii.gz,1.4142135623730951,2.23606797749979,2.23606797749979
BraTS20_Training_246.nii.gz,2.449489742783178,5.385164807134504,3.0
BraTS20_Training_260.nii.gz,15.394804318340652,5.0990195135927845,3.605551275463989
BraTS20_Training_265.nii.gz,1.4142135623730951,1.7320508075688772,inf
BraTS20_Training_266.nii.gz,1.7320508075688772,5.385164807134504,inf
BraTS20_Training_274.nii.gz,6.708203932499369,12.083045973594572,5.0990195135927845
BraTS20_Training_278.nii.gz,4.123105625617661,28.93268001990698,inf
BraTS20_Training_282.nii.gz,1.0,5.0,2.0
BraTS20_Training_289.nii.gz,2.8284271247461903,9.9498743710662,inf
BraTS20_Training_291.nii.gz,1.7320508075688772,9.0,25.294237547734532
BraTS20_Training_292.nii.gz,2.8284271247461903,3.3166247903554,12.96725918729335
BraTS20_Training_299.nii.gz,1.4142135623730951,2.8284271247461903,14.884546370456563
BraTS20_Training_306.nii.gz,3.6667990255530714,19.4164878389476,inf
BraTS20_Training_314.nii.gz,4.242640687119285,3.0,1.4142135623730951
BraTS20_Training_315.nii.gz,1.0,2.0,1.0
BraTS20_Training_318.nii.gz,2.23606797749979,5.744562646538029,16.30950643030009
BraTS20_Training_323.nii.gz,4.123105625617661,5.0990195135927845,38.63094565102951
BraTS20_Training_325.nii.gz,43.18564576337837,inf,inf
BraTS20_Training_327.nii.gz,1.4142135623730951,6.4031242374328485,7.0710678118654755
BraTS20_Training_328.nii.gz,4.242640687119285,17.916472867168917,50.60632371551998
BraTS20_Training_335.nii.gz,4.123105625617661,7.615773105863909,inf
BraTS20_Training_337.nii.gz,1.0,1.0,1.0
BraTS20_Training_344.nii.gz,2.0,5.385164807134504,11.224972160321824
BraTS20_Training_348.nii.gz,1.0,2.0,1.0
BraTS20_Training_363.nii.gz,1.0,1.0,1.0
BraTS20_Training_367.nii.gz,1.0,2.449489742783178,1.0
